metric_group,metric_name,asset,pair,stage,trade_action,value,sample_size,window,notes
absorption,broader_sell_pressure_confirmed_count,,,,,10,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
absorption,broader_buy_pressure_confirmed_count,,,,,12,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
absorption,pool_only_unconfirmed_pressure_count,,,,,77,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
adverse,buy_pressure_adverse_30s_rate,,,,,0.1818,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
adverse,buy_pressure_adverse_60s_rate,,,,,0.2069,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
adverse,buy_pressure_adverse_300s_rate,,,,,,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
adverse,sell_pressure_adverse_30s_rate,,,,,0.4483,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
adverse,sell_pressure_adverse_60s_rate,,,,,0.4815,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
adverse,sell_pressure_adverse_300s_rate,,,,,,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
adverse,adverse_direction_consistency_errors,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,lp_rows,,,,,136,44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,asset_cases,,,,,44,44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,compression_ratio,,,,,3.0909,44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,avg_signals_per_case,,,,,3.0909,44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,multi_pair_case_count,,,,,23,44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,single_signal_case_count,,,,,17,44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,one_signal_one_case_rate,,,,,0.3864,44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,prealert_linked_case_count,,,,,1,44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,case_upgrade_paths,,,,,"{""confirm"": 11, ""exhaustion_risk:sweep_exhaustion_risk"": 6, ""confirm:sweep_building"": 6, ""confirm:sweep_building -> climax:sweep_confirmed"": 3, ""climax:sweep_confirmed -> confirm"": 2, ""confirm -> confirm:sweep_building -> climax:sweep_confirmed"": 2, ""prealert -> confirm -> exhaustion_risk:sweep_exhaustion_risk -> confirm:sweep_building -> confirm"": 1, ""confirm -> exhaustion_risk:sweep_exhaustion_risk -> confirm:sweep_building -> climax:sweep_confirmed -> confirm:sweep_building -> climax:sweep_confirmed -> confirm"": 1, ""confirm -> confirm:sweep_building -> confirm -> confirm:sweep_building"": 1, ""confirm -> confirm:sweep_building"": 1, ""exhaustion_risk:sweep_exhaustion_risk -> confirm:sweep_building -> climax:sweep_confirmed -> exhaustion_risk:sweep_exhaustion_risk -> confirm:sweep_building -> climax:sweep_confirmed -> confirm:sweep_building -> climax:sweep_confirmed"": 1, ""confirm -> confirm:sweep_building -> climax:sweep_confirmed -> confirm:sweep_building -> climax:sweep_confirmed -> confirm"": 1, ""confirm:sweep_building -> confirm -> confirm:sweep_building"": 1, ""confirm -> exhaustion_risk:sweep_exhaustion_risk -> confirm:sweep_building -> climax:sweep_confirmed -> confirm"": 1, ""confirm -> climax:sweep_confirmed"": 1}",44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
asset_case,fragmentation_reasons,,,,,"{""single_signal_case"": 17, ""single_signal_local_confirm"": 10, ""local_absorption_fragment"": 13, ""single_pair_case"": 17, ""weak_or_missing_broader_alignment"": 13}",44,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
majors,covered_major_pairs,,,,,"[""ETH/USDT"", ""ETH/USDC""]",2,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
majors,missing_major_pairs,,,,,"[""BTC/USDT"", ""BTC/USDC"", ""SOL/USDT"", ""SOL/USDC""]",4,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
majors,eth_signal_count,ETH,,,,136,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
majors,btc_signal_count,BTC,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
majors,sol_signal_count,SOL,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,signals_archive_exists,,,,,True,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_delivery_audit_match_rate,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_case_followup_match_rate,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_case_attached_match_rate,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,delivered_signal_notifier_sent_at_rate,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_id_complete_rate,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,asset_case_id_complete_rate,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,outcome_tracking_key_complete_rate,,,,,1.0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,mixed_flat_nested_rows,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,flat_nested_stage_mismatch_rows,,,,,0,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,signal_ids,,,,,136,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,delivered_signal_ids,,,,,7,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,raw_archive_exists,,,,,True,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,parsed_archive_exists,,,,,True,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,total_raw_events,,,,,47963,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,total_parsed_events,,,,,25906,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,total_signal_rows,,,,,526,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,window_case_archive_rows,,,,,37328,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,window_case_followup_rows,,,,,72,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
archive,window_delivery_audit_rows,,,,,48984,136,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
reversal,reason_distribution,,,,,"{""possible code misclassification"": 2, ""late_confirm / chase_risk"": 3, ""local_confirm rather than broader_confirm"": 3, ""single_pool / low resonance"": 3, ""local_buy_pressure_absorption"": 1, ""local_sell_pressure_absorption"": 2}",5,2026-04-20 15:03:51 UTC -> 2026-04-21 05:56:14 UTC,
