metric_group,metric_name,asset,pair,state,opportunity_status,value,sample_size,window,notes
historical_data_retention,quality_records_count,,,,,791,,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
historical_data_retention,opportunity_history_count,,,,,136,,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
historical_data_retention,asset_state_history_count,,,,,16,,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
historical_data_retention,evidence_of_data_reset,,,,,"[""raw_events date coverage is shorter than signals"", ""parsed_events date coverage is shorter than signals"", ""trade_opportunity candidate_history and verified_history are empty"", ""asset_market_states cache has only one asset record"", ""asset_cases cache has only one current case""]",,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
historical_data_retention,missing_history_effect_on_verified,,,,,candidate/verified 原生 opportunity history 为 0，会让 verified 缺少自身后验；本轮虽有 LP fallback 样本，但 outcome completion rate 远低于 verified 门槛，因此 verified 仍关闭。,,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
historical_data_retention,estimated_samples_needed_for_verified,,,,,20,,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,research_sampling_readiness,,,,,7.3,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,opportunity_layer_usability,,,,,4.6,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,candidate_quality,,,,,2.2,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,verified_credibility,,,,,0.5,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,blocker_protection_value,,,,,7.1,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,telegram_noise_reduction,,,,,7.4,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,outcome_completeness,,,,,4.3,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,historical_data_sufficiency,,,,,4.0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,data_governance_readiness,,,,,5.0,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,database_readiness,,,,,6.1,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
scorecard,overall_self_use_trading_assistant_score,,,,,4.7,136,2026-04-20T15:03:53+00:00 -> 2026-04-21T05:53:12+00:00,
