metric_group,metric_name,today_value,previous_value,abs_change,pct_change,interpretation,data_source,notes
blocker_risk_filter,top_overblocking_blockers,"[{""blocker"": ""history_completion_too_low"", ""count"": 39, ""false_block_rate"": 0.0, ""saved_rate"": 0.0}, {""blocker"": ""late_or_chase"", ""count"": 21, ""false_block_rate"": 0.0, ""saved_rate"": 0.0}, {""blocker"": ""no_trade_lock"", ""count"": 8, ""false_block_rate"": 0.0, ""saved_rate"": 0.0}]","[{""blocker"": ""history_completion_too_low"", ""count"": 39, ""false_block_rate"": 0.0, ""saved_rate"": 0.0}, {""blocker"": ""late_or_chase"", ""count"": 32, ""false_block_rate"": 0.0, ""saved_rate"": 0.0}, {""blocker"": ""no_trade_lock"", ""count"": 12, ""false_block_rate"": 0.0, ""saved_rate"": 0.0}, {""blocker"": ""strong_opposite_signal"", ""count"": 1, ""false_block_rate"": 0.0, ""saved_rate"": 0.0}]",,,结构化内容变化；需人工查看差异,"{""previous"": {""path"": ""trade_opportunity_summary.blocker_effectiveness.top_overblocking_blockers"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""trade_opportunity_summary.blocker_effectiveness.top_overblocking_blockers"", ""report_type"": ""overnight_trade_action""}}",
prealert,prealert_candidate_count,1,136,-135.0,-99.26,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""prealert_funnel_summary.prealert_candidate_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""prealert_lifecycle_summary.prealert_candidate_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:prealert_funnel_summary.prealert_candidate_count->prealert_lifecycle_summary.prealert_candidate_count | source_report_changed:overnight_trade_action->afternoon_evening_state
prealert,prealert_gate_passed_count,1,136,-135.0,-99.26,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""prealert_funnel_summary.prealert_gate_passed_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""prealert_lifecycle_summary.prealert_gate_passed_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:prealert_funnel_summary.prealert_gate_passed_count->prealert_lifecycle_summary.prealert_gate_passed_count | source_report_changed:overnight_trade_action->afternoon_evening_state
prealert,prealert_active_count,0,1,-1.0,-100.0,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""prealert_lifecycle_summary.active_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""prealert_lifecycle_summary.prealert_active_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:prealert_lifecycle_summary.active_count->prealert_lifecycle_summary.prealert_active_count | source_report_changed:overnight_trade_action->afternoon_evening_state
prealert,prealert_delivered_count,0,0,0.0,,与 previous 持平,"{""previous"": {""path"": ""prealert_lifecycle_summary.delivered_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""prealert_lifecycle_summary.prealert_delivered_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:prealert_lifecycle_summary.delivered_count->prealert_lifecycle_summary.prealert_delivered_count | source_report_changed:overnight_trade_action->afternoon_evening_state
prealert,prealert_upgraded_to_confirm_count,1,76,-75.0,-98.68,数量变化；仅表示规模/活动变化，不直接代表质量改善,"{""previous"": {""path"": ""prealert_lifecycle_summary.upgraded_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""prealert_lifecycle_summary.prealert_upgraded_to_confirm_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:prealert_lifecycle_summary.upgraded_count->prealert_lifecycle_summary.prealert_upgraded_to_confirm_count | source_report_changed:overnight_trade_action->afternoon_evening_state
prealert,prealert_expired_count,0,0,0.0,,与 previous 持平,"{""previous"": {""path"": ""prealert_lifecycle_summary.expired_count"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""prealert_lifecycle_summary.prealert_expired_count"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:prealert_lifecycle_summary.expired_count->prealert_lifecycle_summary.prealert_expired_count | source_report_changed:overnight_trade_action->afternoon_evening_state
prealert,median_prealert_to_confirm_sec,0.0,,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""prealert_lifecycle_summary.median_prealert_to_confirm_sec"", ""report_type"": ""afternoon_evening_state""}}",
outcome_integrity,outcome_30s_completed_rate,0.5,0.4559,0.0441,9.67,改善：指标上升,"{""previous"": {""path"": ""outcome_price_source_summary.outcome_30s_completed_rate"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""outcome_source_summary.outcome_30s_completed_rate"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:outcome_price_source_summary.outcome_30s_completed_rate->outcome_source_summary.outcome_30s_completed_rate | source_report_changed:overnight_trade_action->afternoon_evening_state
outcome_integrity,outcome_60s_completed_rate,0.5,0.4118,0.0882,21.42,改善：指标上升,"{""previous"": {""path"": ""outcome_price_source_summary.outcome_60s_completed_rate"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""outcome_source_summary.outcome_60s_completed_rate"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:outcome_price_source_summary.outcome_60s_completed_rate->outcome_source_summary.outcome_60s_completed_rate | source_report_changed:overnight_trade_action->afternoon_evening_state
outcome_integrity,outcome_300s_completed_rate,0.5,0.0,0.5,,改善：指标上升,"{""previous"": {""path"": ""outcome_price_source_summary.outcome_300s_completed_rate"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""outcome_source_summary.outcome_300s_completed_rate"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:outcome_price_source_summary.outcome_300s_completed_rate->outcome_source_summary.outcome_300s_completed_rate | source_report_changed:overnight_trade_action->afternoon_evening_state
outcome_integrity,outcome_price_source_distribution,"{""okx_mark"": 12}","{""okx_mark"": 544}",,,结构化内容变化；需人工查看差异,"{""previous"": {""path"": ""outcome_price_source_summary.outcome_price_source_distribution"", ""report_type"": ""overnight_trade_action""}, ""today"": {""path"": ""outcome_source_summary.outcome_price_source_distribution"", ""report_type"": ""afternoon_evening_state""}}",source_path_changed:outcome_price_source_summary.outcome_price_source_distribution->outcome_source_summary.outcome_price_source_distribution | source_report_changed:overnight_trade_action->afternoon_evening_state
outcome_integrity,expired_rate_by_window,"{""300s"": 0.0, ""30s"": 0.0, ""60s"": 0.0}",,,,previous 字段缺失，无法判断,"{""previous"": {""path"": null, ""report_type"": null}, ""today"": {""path"": ""outcome_source_summary.expired_rate_by_window"", ""report_type"": ""afternoon_evening_state""}}",
